,date,nav,fund_house,scheme_category,scheme_code,scheme_name,scheme_type
1164,15-05-2019,33.33000,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1165,14-05-2019,32.96190,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1166,13-05-2019,32.51010,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1167,10-05-2019,33.34960,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1168,09-05-2019,33.25310,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1169,08-05-2019,33.15000,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1170,07-05-2019,33.01930,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1171,06-05-2019,33.63790,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1172,03-05-2019,33.62200,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1173,02-05-2019,33.22050,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1174,30-04-2019,33.88270,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1175,26-04-2019,34.08480,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1176,25-04-2019,33.91700,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1177,24-04-2019,33.65440,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1178,23-04-2019,33.68360,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1179,22-04-2019,33.20980,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1180,18-04-2019,32.98340,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1181,16-04-2019,33.13270,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1182,15-04-2019,33.08440,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1183,12-04-2019,33.02480,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1184,11-04-2019,32.76190,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1185,10-04-2019,32.96380,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1186,09-04-2019,32.75480,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1187,08-04-2019,32.94650,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1188,05-04-2019,32.74580,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1189,04-04-2019,32.43810,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1190,03-04-2019,32.45710,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1191,02-04-2019,32.49030,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1192,01-04-2019,32.55400,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1193,29-03-2019,32.16910,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1194,28-03-2019,31.80800,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1195,27-03-2019,31.53180,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1196,26-03-2019,31.82190,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1197,25-03-2019,31.68030,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1198,22-03-2019,31.71980,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1199,20-03-2019,31.91460,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1200,19-03-2019,31.93170,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1201,18-03-2019,31.65710,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1202,15-03-2019,31.75520,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1203,14-03-2019,31.81600,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1204,13-03-2019,31.75250,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1205,12-03-2019,31.54300,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1206,11-03-2019,31.52890,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1207,08-03-2019,30.96700,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1208,07-03-2019,31.08040,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1209,06-03-2019,31.52760,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1210,05-03-2019,31.86360,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1211,01-03-2019,32.45890,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1212,28-02-2019,32.13230,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1213,27-02-2019,32.18090,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1214,26-02-2019,31.94880,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1215,25-02-2019,31.95410,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1216,22-02-2019,31.94880,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1217,21-02-2019,31.62440,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1218,20-02-2019,31.76870,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1219,19-02-2019,31.96510,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1220,18-02-2019,31.93830,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
1221,15-02-2019,31.87750,Franklin Templeton Mutual Fund,Other Scheme - FoF Overseas,118550,Franklin India Feeder - Franklin U S Opportunities Fund - Direct - IDCW ,Open Ended Schemes
